epoch,step,train_loss,val_loss
0,35,,0.014699735577625755
1,49,0.47959304084847704,
1,71,,0.010370930711491947
2,99,1.197960719081553,
2,107,,0.023204562650647385
3,143,,0.06425942224866207
4,149,1.122347628771904,
4,179,,0.22473074587741962
5,199,0.6040998248583667,
5,215,,0.10636462940045886
6,249,0.38570082272009626,
6,251,,0.2992231588607366
7,287,,0.47002646465340037
8,299,0.277107537702085,
8,323,,0.46769492602559226
9,349,0.5666943941089118,
9,359,,0.41364054784308313
10,395,,0.34204053063947726
11,399,0.20260552525278944,
11,431,,0.44459745135896384
