epoch,step,train_loss,val_loss
0,49,4.613302347247019,
0,99,3.865137371943947,
0,149,2.748318379136485,
0,199,2.2838335168052755,
0,249,2.499358161121923,
0,299,2.130398397600803,
0,349,2.267509622871316,
0,375,,4.308422637618385
1,399,2.241189994093003,
1,449,2.077937886747596,
1,499,2.0298022412335066,
1,549,2.3261857180314776,
1,599,1.9375312176072321,
1,649,2.198015149750582,
1,699,2.0167175924046985,
1,749,1.9007579504025955,
1,751,,4.868858600957698
2,799,2.0642576718375008,
2,849,2.0692678186981084,
2,899,1.9589136010747472,
2,949,2.0084291046343012,
2,999,1.9400042917612927,
2,1049,2.04642527729926,
2,1099,1.9367260782782272,
2,1127,,4.653755686527535
3,1149,1.9203193049013412,
3,1199,2.068818631905425,
3,1249,1.8788758291827614,
3,1299,2.152903498681334,
3,1349,1.7578393869401279,
3,1399,1.8803911946445506,
3,1449,1.9778121986310346,
3,1499,1.9996801263322939,
3,1503,,5.142150106175598
4,1549,1.9580007496265455,
4,1599,2.2587040017266595,
4,1649,2.025152099745053,
4,1699,2.017871906600732,
4,1749,1.7410735153584818,
4,1799,1.9104875050632546,
4,1849,2.0295886820515774,
4,1879,,5.204689737014094
5,1899,1.9579109128199044,
5,1949,2.0259345639415387,
5,1999,2.0838684152622844,
5,2049,1.8276754052105026,
5,2099,1.9482989404770452,
5,2149,1.896652340090383,
5,2199,1.973734898827043,
5,2249,2.013792410460103,
5,2255,,4.600046090034657
