epoch,step,train_loss,val_loss
0,49,3.8538531058909222,
0,99,3.9946431596197023,
0,149,3.320268399853153,
0,199,3.1939417543478967,
0,249,3.1728187958286114,
0,299,3.3348322947310196,
0,349,3.1876363747601215,
0,399,2.9576047787569237,
0,449,3.0436075983067767,
0,499,2.9910180874216814,
0,549,3.0871285228564247,
0,569,,3.7058125032762814
1,599,3.1646760417330135,
1,649,3.0161574391596173,
1,699,3.446168850435138,
1,749,3.066538239565472,
1,799,3.080287906324307,
1,849,3.046996736938066,
1,899,2.8043164613507416,
1,949,2.266919316745657,
1,999,2.430197370037524,
1,1049,2.149466285262545,
1,1099,2.1880655659982207,
1,1139,,3.308301706737256
2,1149,2.299040815632173,
2,1199,2.2251348708447702,
2,1249,2.037284755483297,
2,1299,1.9310949034332308,
2,1349,2.1260848159071717,
2,1399,2.1859008462400213,
2,1449,1.9682506546149976,
2,1499,1.8450432058968684,
2,1549,1.8377133349395065,
2,1599,1.794568441999446,
2,1649,1.8454522841139358,
2,1699,1.7597908478329898,
2,1709,,4.011077051904864
3,1749,1.7414777164893511,
3,1799,1.7528621375661997,
3,1849,1.6972491827250817,
3,1899,1.588877596811463,
3,1949,1.5579264335046539,
3,1999,1.7372013134888864,
3,2049,1.5281822758271564,
3,2099,1.629667343950691,
3,2149,1.6242714235579918,
3,2199,1.4824840380895634,
3,2249,1.5169090857742058,
3,2279,,4.425742209220439
4,2299,1.4516913768121524,
4,2349,1.6548109522140226,
4,2399,1.5686334477714097,
4,2449,1.6471640089735367,
4,2499,1.3788924869768953,
4,2549,1.5817648610397157,
4,2599,1.5536715940928574,
4,2649,1.4904202030875011,
4,2699,1.3743345895224135,
4,2749,1.3670647050199505,
4,2799,1.383068989184539,
4,2849,1.4483414853849719,
4,2849,,4.838844668212587
5,2899,1.3312950494449374,
5,2949,1.4500485654192428,
5,2999,1.3812059463779867,
5,3049,1.5194977747737881,
5,3099,1.4187297518740878,
5,3149,1.4915201741496613,
5,3199,1.5401338229623485,
5,3249,1.2915454300404132,
5,3299,1.4054594789056367,
5,3349,1.309670394830037,
5,3399,1.2119201177852288,
5,3419,,4.366153635698197
6,3449,1.3977924951376042,
6,3499,1.37312538769596,
6,3549,1.2258688232348471,
6,3599,1.2300749344192539,
6,3649,1.1851431993496129,
6,3699,1.268060028566155,
6,3749,1.351436673848177,
6,3799,1.228349546530083,
6,3849,1.1613367320812882,
6,3899,1.196255996070542,
6,3949,1.2181806333050091,
6,3989,,4.151961820898282
