dirs,Model,Train Time (s)_mean,Train Time (s)_std,Epochs Trained_mean,Epochs Trained_std,MSE_mean,MSE_std,MAE_mean,MAE_std,MAPE (%)_mean,MAPE (%)_std,MDA (%)_mean,MDA (%)_std
"(1, 6, 11)",deepAR,130.3367,8.3373,11.3333,0.5774,8654.4444,1653.2542,89.0409,8.3038,39.3030,3.7311,45.6933,1.3050
"(1, 6, 11)",dlinear,8.0733,0.4725,13.6667,1.1547,302.7205,10.5610,12.7705,0.1297,5.7509,0.0676,50.1300,3.4565
"(1, 6, 11)",nbeats,40.7500,7.1506,36.0000,7.2111,3320.3639,749.6973,51.7591,6.6090,22.6790,2.9341,47.2567,3.3950
"(1, 6, 11)",tft,52.7267,8.1641,15.0000,2.6458,7754.1975,1813.0068,83.8412,11.2922,36.9677,5.0756,50.4767,1.6809
"(1, 6, 11)",tsmixer,23.0167,1.6574,32.3333,3.0551,309.3765,3.7008,13.1546,0.0841,5.8424,0.0367,53.0000,2.6486
"(2, 7, 12)",deepAR,123.3367,1.3641,11.0000,0.0000,14618.4039,4708.2345,111.7384,18.1170,44.3097,7.4456,50.3933,1.3815
"(2, 7, 12)",dlinear,5.8933,0.2363,8.3333,0.5774,477.1171,24.5591,16.5255,0.3471,6.7048,0.1041,49.1733,2.6837
"(2, 7, 12)",nbeats,16.1767,2.3247,11.3333,2.3094,2953.2717,505.0714,42.9226,3.9872,17.0275,1.5261,48.5633,3.4114
"(2, 7, 12)",tft,38.1567,1.5619,10.3333,0.5774,12484.0416,254.1590,104.3515,1.2411,41.2982,0.5549,49.1733,1.3139
"(2, 7, 12)",tsmixer,19.2467,2.2820,27.3333,4.0415,383.3086,1.2344,14.8150,0.0172,6.0738,0.0046,50.0433,3.9202
"(3, 8, 13)",deepAR,136.5200,3.7852,12.0000,0.0000,287.7202,86.7775,16.1112,2.5353,24.3699,3.8996,48.1300,2.1290
"(3, 8, 13)",dlinear,6.4067,0.2309,9.6667,0.5774,13.7510,0.4494,2.9149,0.0662,4.4601,0.0974,47.4333,2.0954
"(3, 8, 13)",nbeats,26.4033,2.0785,21.6667,2.0817,36.1493,13.6275,4.9191,0.9950,7.4211,1.4797,52.3933,3.2815
"(3, 8, 13)",tft,77.3500,16.5764,23.0000,5.2915,105.4485,2.8295,9.3335,0.1490,13.9804,0.2315,49.6100,0.6879
"(3, 8, 13)",tsmixer,12.0833,0.1986,15.0000,0.0000,13.5574,0.2379,2.8060,0.0165,4.2743,0.0252,49.1733,1.5930
"(4, 9, 14)",deepAR,133.5600,19.3995,12.0000,1.7321,37100.7697,5009.7580,185.0916,12.9128,31.3283,2.2408,51.0867,2.8754
"(4, 9, 14)",dlinear,6.6033,0.7218,10.0000,1.7321,1028.4387,39.0159,23.7799,1.0991,4.1224,0.1443,49.7833,3.8058
"(4, 9, 14)",nbeats,17.5767,4.6330,12.6667,4.7258,14340.8229,1859.2085,101.0630,8.7015,16.9863,1.4622,51.5233,2.2226
"(4, 9, 14)",tft,52.5400,19.0111,15.0000,6.0828,31358.0430,3983.1101,168.6483,10.9383,28.5145,1.9052,50.7400,1.8924
"(4, 9, 14)",tsmixer,30.5733,6.0120,45.0000,9.6437,1024.1524,11.9680,23.3291,0.0773,4.0601,0.0126,52.5667,2.8739
"(5, 10, 15)",deepAR,186.0900,57.8693,16.0000,5.2915,15311.4565,7290.5565,98.1913,25.1394,29.2833,7.1549,50.5667,3.2201
"(5, 10, 15)",dlinear,7.0600,0.2339,11.3333,0.5774,5276.0495,148.6593,58.8291,1.0026,18.9061,0.4058,49.5200,1.4825
"(5, 10, 15)",nbeats,23.7333,2.7138,19.0000,2.6458,7838.6782,1319.2082,74.8332,4.3325,23.6231,0.6145,50.4800,3.6583
"(5, 10, 15)",tft,26.7567,1.7820,6.6667,0.5774,11355.3738,1065.5032,86.0195,3.2313,28.4280,2.0147,51.3500,2.7461
"(5, 10, 15)",tsmixer,17.2100,0.5717,22.3333,1.5275,4056.9042,83.1148,52.4746,0.4276,16.8245,0.1585,49.0000,1.3397
