Dataset,Target,Model,Horizon,Lookback window,Seed,Train Time (s),Epochs Trained,MSE,MAE,MAPE (%),MDA (%)
ETTh1.csv,OT,deepAR,96,384,251253210,725.1,21,7.2512,2.3172,34.2875,61.05
ETTh1.csv,OT,nbeats,96,384,251253210,89.73,8,3.7848,1.5708,20.1402,49.47
ETTh1.csv,OT,tsmixer,96,384,251253210,47.32,9,3.5785,1.5149,17.4357,54.74
ETTh1.csv,OT,tft,96,384,251253210,391.84,6,9.6401,2.4963,30.8889,49.47
ETTh1.csv,OT,dlinear,96,384,251253210,69.13,18,13.6807,3.1859,35.204,61.05
