epoch,step,train_loss,val_loss
0,11,,1.031017738386387
1,23,,1.025507659011226
2,35,,1.1017436807817182
3,47,,1.3553488788255372
4,49,0.1837072357736782,
4,59,,1.2033249159137966
5,71,,1.2031696083102115
6,83,,1.3917148994686992
7,95,,1.1056649733738104
8,99,0.13294446856397682,
8,107,,1.1241198122176403
9,119,,0.9820318699501585
10,131,,1.1586786767402677
11,143,,1.1656363809470425
12,149,0.08732014145676528,
12,155,,1.4376328212883553
13,167,,1.3340816182494935
14,179,,1.3026730616123663
15,191,,1.4128947051186735
16,199,0.06612265983267845,
16,203,,1.3655605187648574
17,215,,1.4850097009273298
18,227,,1.4441694138057808
19,239,,1.3822932372866301
