epoch,step,train_loss,val_loss
0,11,,1.6344297780033599
1,23,,1.3014310895830434
2,35,,1.47249534700867
3,47,,1.5481564519270252
4,49,0.21116567008032383,
4,59,,1.3330007278397176
5,71,,1.279216890235155
6,83,,1.159727404143096
7,95,,1.2392773435363045
8,99,0.16413895699444392,
8,107,,1.224181622367177
9,119,,1.371999849834059
10,131,,1.7797697825419456
11,143,,1.4755886388708006
12,149,0.11981528037248693,
12,155,,1.4483300165025537
13,167,,1.5838879327891773
14,179,,1.9478257481355281
15,191,,1.7847683936404621
16,199,0.09469857067305905,
16,203,,1.7733753713557836
