epoch,step,train_loss,val_loss
0,49,4.156075974342608,
0,99,3.2919814959889333,
0,149,3.1829374361874927,
0,199,3.37308261576505,
0,249,3.222448045819551,
0,299,3.389345957780711,
0,349,2.993155531564941,
0,399,3.1317309502195423,
0,449,2.9398862888076125,
0,499,3.265202450321091,
0,549,3.0402379696012627,
0,569,,3.6342559422769902
1,599,3.1407148792325694,
1,649,3.026930319514224,
1,699,3.0899809949622608,
1,749,2.6695655915363616,
1,799,3.015858556432589,
1,849,2.7361572698855197,
1,899,2.596263612168934,
1,949,2.8787009570443987,
1,999,2.972124619136216,
1,1049,2.8562675981260175,
1,1099,2.7793532844015107,
1,1139,,3.4833332573711586
2,1149,2.6663541262022505,
2,1199,2.7610356362071933,
2,1249,2.7501778339496483,
2,1299,3.1001587552734975,
2,1349,2.5693598662069905,
2,1399,2.616572240484051,
2,1449,2.8396614483564884,
2,1499,2.649490230556969,
2,1549,2.7388307811500887,
2,1599,2.533688446708555,
2,1649,2.5645930911228523,
2,1699,2.2212195358427484,
2,1709,,2.968923768800972
3,1749,1.9373261045052015,
3,1799,1.87880776281744,
3,1849,1.914496809114409,
3,1899,1.8171824128632175,
3,1949,1.7154708616769814,
3,1999,1.673667828196096,
3,2049,1.7083478235710035,
3,2099,1.677034907607164,
3,2149,1.5322766568486297,
3,2199,1.5862306054806106,
3,2249,1.475123256136634,
3,2279,,3.104953999670692
4,2299,1.5657462425226512,
4,2349,1.319634051073952,
4,2399,1.5162140119188425,
4,2449,1.4710619662416642,
4,2499,1.5565871941060587,
4,2549,1.397336752594982,
4,2599,1.4775922806426216,
4,2649,1.3408920212312987,
4,2699,1.402682310038195,
4,2749,1.4814226359862055,
4,2799,1.3804422667498724,
4,2849,1.1614092085756669,
4,2849,,2.884252450361632
5,2899,1.4562328579454988,
5,2949,1.342296321189065,
5,2999,1.3627655702087484,
5,3049,1.187637993885965,
5,3099,1.2473476789270377,
5,3149,1.295343765014183,
5,3199,1.2748770007150907,
5,3249,1.25225738878577,
5,3299,1.2574732305509317,
5,3349,1.3221847591321834,
5,3399,1.4261001212404727,
5,3419,,3.0947553740688645
6,3449,1.2272043366935108,
6,3499,1.365654708638179,
6,3549,1.1764997754204203,
6,3599,1.2936016202308775,
6,3649,1.235149663737921,
6,3699,1.1916025356988786,
6,3749,1.2079815228518855,
6,3799,1.3576135135946743,
6,3849,1.1990872716699197,
6,3899,1.1390416192973154,
6,3949,1.1299620243340094,
6,3989,,3.0913864299541802
7,3999,1.1383820392457014,
7,4049,1.2235063049401953,
7,4099,1.178533442884252,
7,4149,1.1266030863821679,
7,4199,1.2634268028150102,
7,4249,1.1057941856638114,
7,4299,1.149151944456444,
7,4349,1.138320401813112,
7,4399,1.3342787292774836,
7,4449,1.1760405786590575,
7,4499,1.114636866389929,
7,4549,1.0238310936043507,
7,4559,,3.201111551747507
8,4599,1.1102448216887368,
8,4649,1.1984488289573576,
8,4699,1.1840451386575506,
8,4749,1.1135519309632094,
8,4799,1.1279904301978934,
8,4849,1.081927463955645,
8,4899,1.0554846605731645,
8,4949,1.065515487478931,
8,4999,1.2182001355900889,
8,5049,1.0597825918684731,
8,5099,1.043542430833493,
8,5129,,3.2401776113017715
9,5149,1.0329399405026378,
9,5199,1.0815767851559492,
9,5249,1.1100506236138683,
9,5299,1.0767497944985287,
9,5349,1.029539928878176,
9,5399,1.0429597684911607,
9,5449,1.0586338500489063,
9,5499,1.1721472770121464,
9,5549,1.0631365535167898,
9,5599,1.0918419881974681,
9,5649,1.0854195927890293,
9,5699,1.0748804270331653,
9,5699,,3.5072191865833586
