Date,Open,High,Low,Close,Volume
1990-01-02 00:00:00.000 +0200,0.24778,0.2636,0.24603,0.26184,232697000
1990-01-03 00:00:00.000 +0200,0.26711,0.26711,0.2636,0.2636,264194000
1990-01-04 00:00:00.000 +0200,0.26887,0.27239,0.26184,0.26448,281364700
1990-01-05 00:00:00.000 +0200,0.26536,0.26887,0.26008,0.26536,156629900
1990-01-08 00:00:00.000 +0200,0.2636,0.26711,0.26008,0.26711,129017000
1990-01-09 00:00:00.000 +0200,0.26711,0.26711,0.26008,0.26448,109413300
1990-01-10 00:00:00.000 +0200,0.26448,0.26448,0.2513,0.25306,253680700
1990-01-11 00:00:00.000 +0200,0.25481,0.25481,0.24251,0.24251,268077600
1990-01-12 00:00:00.000 +0200,0.24075,0.24427,0.23724,0.24251,218343000
1990-01-15 00:00:00.000 +0200,0.24251,0.2513,0.24075,0.24075,205439800
1990-01-16 00:00:00.000 +0200,0.23548,0.24603,0.23021,0.24515,272132100
1990-01-17 00:00:00.000 +0200,0.24427,0.24427,0.23197,0.23372,250607900
1990-01-18 00:00:00.000 +0200,0.23197,0.23548,0.22669,0.22757,347132300
1990-01-19 00:00:00.000 +0200,0.23724,0.24251,0.23548,0.24075,336775500
1990-01-22 00:00:00.000 +0200,0.239,0.24251,0.23372,0.23372,184954200
1990-01-23 00:00:00.000 +0200,0.23724,0.24075,0.23197,0.23724,178936600
1990-01-24 00:00:00.000 +0200,0.22845,0.24075,0.22669,0.239,215668400
1990-01-25 00:00:00.000 +0200,0.24075,0.24427,0.239,0.23988,141678200
1990-01-26 00:00:00.000 +0200,0.239,0.239,0.22669,0.23021,230221800
1990-01-29 00:00:00.000 +0200,0.23197,0.23548,0.22582,0.23372,152333600
1990-01-30 00:00:00.000 +0200,0.23372,0.24251,0.23197,0.239,147909300
1990-01-31 00:00:00.000 +0200,0.24251,0.24427,0.23197,0.239,182834500
1990-02-01 00:00:00.000 +0200,0.24251,0.24339,0.23548,0.23636,148706000
1990-02-02 00:00:00.000 +0200,0.23372,0.24427,0.23372,0.24075,150484200
1990-02-05 00:00:00.000 +0200,0.24075,0.24778,0.239,0.24603,129244600
1990-02-06 00:00:00.000 +0200,0.24427,0.24603,0.239,0.24427,93892600
1990-02-07 00:00:00.000 +0200,0.23197,0.239,0.22845,0.23372,396866900
1990-02-08 00:00:00.000 +0200,0.23372,0.23548,0.22669,0.23197,237064700
1990-02-09 00:00:00.000 +0200,0.23548,0.24251,0.23372,0.24075,213491800
1990-02-12 00:00:00.000 +0200,0.24075,0.24251,0.23724,0.239,95158700
1990-02-13 00:00:00.000 +0200,0.239,0.24603,0.23724,0.24251,129771000
1990-02-14 00:00:00.000 +0200,0.24251,0.24427,0.23724,0.24075,122017600
1990-02-15 00:00:00.000 +0200,0.23724,0.24075,0.23548,0.24075,124436100
1990-02-16 00:00:00.000 +0200,0.24153,0.24329,0.238,0.238,161061800
1990-02-20 00:00:00.000 +0200,0.23624,0.238,0.23271,0.23624,156041900
1990-02-21 00:00:00.000 +0200,0.23095,0.24153,0.22919,0.23977,222718400
1990-02-22 00:00:00.000 +0200,0.23977,0.24329,0.23271,0.23271,247123000
1990-02-23 00:00:00.000 +0200,0.23095,0.23624,0.23095,0.23448,189862300
1990-02-26 00:00:00.000 +0200,0.23271,0.24153,0.23271,0.23977,100794800
1990-02-27 00:00:00.000 +0200,0.23977,0.24153,0.23624,0.23624,93633600
1990-02-28 00:00:00.000 +0200,0.23624,0.23977,0.23448,0.23977,138429700
1990-03-01 00:00:00.000 +0200,0.23624,0.24506,0.23448,0.24153,258155400
1990-03-02 00:00:00.000 +0200,0.23624,0.24506,0.23448,0.238,132814300
1990-03-05 00:00:00.000 +0200,0.23624,0.24506,0.23624,0.24329,231028300
1990-03-06 00:00:00.000 +0200,0.24682,0.24858,0.24329,0.24858,197533900
1990-03-07 00:00:00.000 +0200,0.24682,0.25387,0.24682,0.24946,258566500
1990-03-08 00:00:00.000 +0200,0.25211,0.26092,0.24682,0.25916,283410800
1990-03-09 00:00:00.000 +0200,0.25916,0.26445,0.25563,0.26004,291805600
1990-03-12 00:00:00.000 +0200,0.26269,0.26445,0.25563,0.25828,207587800
1990-03-13 00:00:00.000 +0200,0.2574,0.26269,0.25563,0.26004,188118000
1990-03-14 00:00:00.000 +0200,0.25916,0.26269,0.2574,0.26092,128872100
1990-03-15 00:00:00.000 +0200,0.2574,0.26797,0.2574,0.25916,152227300
1990-03-16 00:00:00.000 +0200,0.28208,0.28737,0.27591,0.28384,816341200
1990-03-19 00:00:00.000 +0200,0.2856,0.29971,0.28208,0.29883,546699400
1990-03-20 00:00:00.000 +0200,0.29794,0.30323,0.28737,0.29177,495451300
1990-03-21 00:00:00.000 +0200,0.29089,0.29794,0.29089,0.29354,193379100
1990-03-22 00:00:00.000 +0200,0.29442,0.29794,0.28737,0.28737,293308900
1990-03-23 00:00:00.000 +0200,0.29089,0.30323,0.28913,0.29794,288657500
1990-03-26 00:00:00.000 +0200,0.29971,0.30588,0.29618,0.29794,162139400
1990-03-27 00:00:00.000 +0200,0.29618,0.29794,0.29089,0.29618,107119300
1990-03-28 00:00:00.000 +0200,0.29618,0.29706,0.28913,0.29089,130332700
1990-03-29 00:00:00.000 +0200,0.28913,0.29266,0.28737,0.29001,122675200
1990-03-30 00:00:00.000 +0200,0.28208,0.28913,0.28208,0.28384,282786900
1990-04-02 00:00:00.000 +0200,0.28208,0.28649,0.27855,0.28384,188359200
1990-04-03 00:00:00.000 +0200,0.2856,0.29442,0.2856,0.29442,176887200
1990-04-04 00:00:00.000 +0200,0.29266,0.29618,0.28737,0.29089,189578700
1990-04-05 00:00:00.000 +0200,0.28913,0.29089,0.28208,0.28384,136983300
1990-04-06 00:00:00.000 +0200,0.28384,0.29089,0.28032,0.2812,149703200
1990-04-09 00:00:00.000 +0200,0.28032,0.29266,0.27855,0.29001,133551700
1990-04-10 00:00:00.000 +0200,0.29089,0.29618,0.28913,0.29089,166266000
1990-04-11 00:00:00.000 +0200,0.29266,0.30323,0.29266,0.29971,269882600
1990-04-12 00:00:00.000 +0200,0.30323,0.31029,0.29971,0.305,268166800
1990-04-16 00:00:00.000 +0200,0.30676,0.31205,0.305,0.30852,287267900
1990-04-17 00:00:00.000 +0200,0.305,0.30676,0.30147,0.305,165996600
1990-04-18 00:00:00.000 +0200,0.305,0.30852,0.29971,0.305,244925000
1990-04-19 00:00:00.000 +0200,0.29442,0.30412,0.28208,0.28384,609604200
1990-04-20 00:00:00.000 +0200,0.28825,0.29266,0.28032,0.28384,409617000
1990-04-23 00:00:00.000 +0200,0.28384,0.2856,0.27855,0.28032,162508100
1990-04-24 00:00:00.000 +0200,0.28208,0.2856,0.2715,0.27326,384560100
1990-04-25 00:00:00.000 +0200,0.27326,0.27503,0.26974,0.27326,167854200
1990-04-26 00:00:00.000 +0200,0.27503,0.27855,0.26886,0.27414,179992700
1990-04-27 00:00:00.000 +0200,0.27503,0.27855,0.27326,0.27591,147391800
1990-04-30 00:00:00.000 +0200,0.27679,0.28032,0.27503,0.27767,172689700
1990-05-01 00:00:00.000 +0200,0.28032,0.28208,0.27767,0.27943,207148400
1990-05-02 00:00:00.000 +0200,0.28032,0.28208,0.27679,0.28032,171470100
1990-05-03 00:00:00.000 +0200,0.28032,0.28384,0.28032,0.28208,210565800
1990-05-04 00:00:00.000 +0200,0.28208,0.28737,0.27679,0.28208,214649800
1990-05-07 00:00:00.000 +0200,0.28032,0.29442,0.28032,0.29266,172179200
1990-05-08 00:00:00.000 +0200,0.28913,0.29618,0.28913,0.29442,142386100
1990-05-09 00:00:00.000 +0200,0.29354,0.29618,0.29089,0.2953,123114900
1990-05-10 00:00:00.000 +0200,0.29442,0.29442,0.2856,0.29177,226688900
1990-05-11 00:00:00.000 +0200,0.29177,0.30147,0.28737,0.30059,272520300
1990-05-14 00:00:00.000 +0200,0.30147,0.30147,0.29089,0.29442,286629900
1990-05-15 00:00:00.000 +0200,0.29177,0.29618,0.28913,0.29442,189139200
1990-05-16 00:00:00.000 +0200,0.29442,0.29442,0.28913,0.29354,110536800
1990-05-17 00:00:00.000 +0200,0.29442,0.29794,0.28913,0.29266,194456700
1990-05-18 00:00:00.000 +0200,0.29089,0.29266,0.27855,0.28032,327242500
1990-05-21 00:00:00.000 +0200,0.27933,0.28286,0.27402,0.27933,331414000
1990-05-22 00:00:00.000 +0200,0.28374,0.29347,0.28286,0.29258,380158600
1990-05-23 00:00:00.000 +0200,0.2917,0.30054,0.2917,0.297,262008700
1990-05-24 00:00:00.000 +0200,0.29877,0.29877,0.29347,0.297,187031900
1990-05-25 00:00:00.000 +0200,0.27933,0.28816,0.27579,0.28286,408229300
1990-05-29 00:00:00.000 +0200,0.28286,0.2917,0.27756,0.28993,307076900
1990-05-30 00:00:00.000 +0200,0.29435,0.29524,0.2917,0.29258,349514500
1990-05-31 00:00:00.000 +0200,0.29347,0.29347,0.28993,0.2917,130155900
1990-06-01 00:00:00.000 +0200,0.29258,0.297,0.28816,0.28816,198528700
1990-06-04 00:00:00.000 +0200,0.28816,0.28993,0.28109,0.28816,226542400
1990-06-05 00:00:00.000 +0200,0.28993,0.28993,0.27579,0.27933,378065900
1990-06-06 00:00:00.000 +0200,0.27579,0.27933,0.27402,0.27933,267354200
1990-06-07 00:00:00.000 +0200,0.27933,0.28109,0.27225,0.27579,235394900
1990-06-08 00:00:00.000 +0200,0.27225,0.27225,0.26518,0.27049,421564200
1990-06-11 00:00:00.000 +0200,0.26695,0.27579,0.26695,0.27579,199363000
1990-06-12 00:00:00.000 +0200,0.27667,0.2864,0.27402,0.2864,208371000
