dirs,Model,Train Time (s)_mean,Train Time (s)_std,Epochs Trained_mean,Epochs Trained_std,MSE_mean,MSE_std,MAE_mean,MAE_std,MAPE (%)_mean,MAPE (%)_std,MDA (%)_mean,MDA (%)_std
"(1, 9, 17)",deepAR,943.5133,242.9568,35.6667,9.0738,4902.7595,4339.9580,58.8900,35.3655,13.2839,8.0386,47.4800,2.5078
"(1, 9, 17)",dlinear,145.5100,24.3288,9.6667,2.0817,645.4804,243.0010,20.2781,5.2318,4.4928,1.1794,49.3200,3.0653
"(1, 9, 17)",nbeats,491.0950,224.7397,11.0000,0.0000,1229.2121,158.9156,28.7387,2.6901,6.4520,0.5840,46.9400,0.6788
"(1, 9, 17)",tft,1529.9667,757.4285,6.6667,1.5275,340.8832,37.4107,13.7269,0.7946,3.0426,0.1791,47.5900,0.2456
"(1, 9, 17)",tsmixer,286.4667,116.9203,29.6667,15.9478,180.5322,5.6808,10.7300,0.1473,2.4367,0.0322,48.9100,0.9529
"(2, 10, 18)",deepAR,1548.3433,696.6268,50.0000,22.5389,7408.8595,11853.8984,57.4228,69.8347,13.0532,15.9709,48.3833,2.6896
"(2, 10, 18)",dlinear,136.9333,44.2498,10.6667,1.1547,900.5060,73.6932,25.3161,1.4209,5.6168,0.3223,48.7000,0.6296
"(2, 10, 18)",nbeats,539.0950,237.7081,12.0000,0.0000,15939.5009,4002.2172,36.5151,6.7281,8.2549,1.5208,47.0800,0.1273
"(2, 10, 18)",tft,1901.1633,794.0724,9.0000,2.0000,306.2071,40.3830,13.0440,0.9568,2.8941,0.2065,47.1100,0.2265
"(2, 10, 18)",tsmixer,349.0567,160.0921,33.6667,5.1316,189.3197,7.9548,10.8627,0.0606,2.4648,0.0122,46.9633,0.7862
"(3, 11, 19)",deepAR,294.6900,44.7262,18.6667,2.5166,23.2900,15.5731,3.9580,1.3331,185170582.1840,113998817.2170,49.7767,2.3867
"(3, 11, 19)",dlinear,18.4833,2.1129,11.6667,1.5275,6.7557,0.0489,2.0590,0.0165,158438166.2483,2936541.6588,56.2333,0.9822
"(3, 11, 19)",nbeats,89.4667,0.2926,13.0000,0.0000,11.8066,0.5059,2.6559,0.0819,236437758.1735,10134022.6453,50.3267,0.8344
"(3, 11, 19)",tft,200.8233,52.1878,9.0000,2.6458,13.2907,4.5314,2.8278,0.4318,189794267.5063,33296537.6681,47.4833,1.2199
"(3, 11, 19)",tsmixer,111.0233,23.6493,35.0000,7.0000,6.8057,0.1621,2.0345,0.0347,163983420.6777,2861884.3187,55.0233,1.1491
"(4, 12, 20)",deepAR,367.9900,75.9140,18.3333,4.0415,41.1480,53.9898,4.8651,4.0974,252232244.5924,126964660.9138,51.7933,1.5464
"(4, 12, 20)",dlinear,26.9433,3.5964,12.6667,2.0817,7.8419,0.0843,2.2298,0.0138,174096006.7672,2167356.5236,57.5800,0.7144
"(4, 12, 20)",nbeats,92.4433,3.6575,13.3333,0.5774,13.5291,0.8117,2.9345,0.1025,219781712.9703,5597612.0659,51.3467,0.8392
"(4, 12, 20)",tft,160.8133,14.7457,5.3333,0.5774,17.8959,5.5088,3.3344,0.5971,217997807.1333,17626689.9116,47.7433,2.3352
"(4, 12, 20)",tsmixer,51.9733,1.1680,15.3333,0.5774,7.9238,0.0847,2.2520,0.0132,174091877.7471,1524825.6078,52.9400,0.5164
"(5, 13, 21)",deepAR,442.7267,176.4805,28.3333,11.1505,64.4351,14.0594,6.3253,0.8317,24.0484,3.0927,71.9933,2.1282
