Dataset,Target,Model,Horizon,Lookback window,Stride,Num Windows,Seed,Train Time (s),Epochs Trained,MSE,MAE,MAPE (%),MDA (%)
ETTm2.csv,OT,deepAR,192,96,24,428,193175721,1803.86,45,295.8525,15.374,52.5394,39.74
ETTm2.csv,OT,nbeats,192,96,24,428,193175721,1102.82,13,35.3369,4.4627,19.3524,54.74
ETTm2.csv,OT,tsmixer,192,96,24,428,193175721,99.52,8,20.7006,3.4701,12.9804,47.49
ETTm2.csv,OT,tft,192,96,24,428,193175721,927.06,8,38.7965,4.992,19.6174,31.89
ETTm2.csv,OT,dlinear,192,96,24,428,193175721,92.65,12,34.8437,4.6858,18.1743,34.11
