Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
tft,weather.csv,OT,96,96,24,433974621,0,2020-11-07T02:40:00,2020-11-07T18:30:00,189.9404,10.9642,2.4407,54.74
tft,weather.csv,OT,96,96,24,433974621,1,2020-11-07T06:40:00,2020-11-07T22:30:00,166.3712,10.0894,2.2679,50.53
tft,weather.csv,OT,96,96,24,433974621,2,2020-11-07T10:40:00,2020-11-08T02:30:00,158.1962,9.8673,2.2578,52.63
tft,weather.csv,OT,96,96,24,433974621,3,2020-11-07T14:40:00,2020-11-08T06:30:00,195.5582,10.4133,2.3361,46.32
tft,weather.csv,OT,96,96,24,433974621,4,2020-11-07T18:40:00,2020-11-08T10:30:00,446.802,15.9487,3.5211,54.74
tft,weather.csv,OT,96,96,24,433974621,5,2020-11-07T22:40:00,2020-11-08T14:30:00,452.8533,17.3991,3.8329,47.37
tft,weather.csv,OT,96,96,24,433974621,6,2020-11-08T02:40:00,2020-11-08T18:30:00,439.5178,18.1997,4.0376,49.47
tft,weather.csv,OT,96,96,24,433974621,7,2020-11-08T06:40:00,2020-11-08T22:30:00,427.2381,18.2791,4.068,51.58
tft,weather.csv,OT,96,96,24,433974621,8,2020-11-08T10:40:00,2020-11-09T02:30:00,311.0871,14.8912,3.3026,55.79
tft,weather.csv,OT,96,96,24,433974621,9,2020-11-08T14:40:00,2020-11-09T06:30:00,311.7383,14.9407,3.2845,51.58
tft,weather.csv,OT,96,96,24,433974621,10,2020-11-08T18:40:00,2020-11-09T10:30:00,575.3042,19.4953,4.179,56.84
tft,weather.csv,OT,96,96,24,433974621,11,2020-11-08T22:40:00,2020-11-09T14:30:00,1492.2275,31.0522,6.5289,47.37
tft,weather.csv,OT,96,96,24,433974621,12,2020-11-09T02:40:00,2020-11-09T18:30:00,2483.7495,43.7487,9.1205,47.37
tft,weather.csv,OT,96,96,24,433974621,13,2020-11-09T06:40:00,2020-11-09T22:30:00,2966.7767,51.1188,10.5811,45.26
tft,weather.csv,OT,96,96,24,433974621,14,2020-11-09T10:40:00,2020-11-10T02:30:00,3053.3719,53.2193,11.005,49.47
tft,weather.csv,OT,96,96,24,433974621,15,2020-11-09T14:40:00,2020-11-10T06:30:00,2591.7013,47.5564,9.8206,38.95
tft,weather.csv,OT,96,96,24,433974621,16,2020-11-09T18:40:00,2020-11-10T10:30:00,1624.2319,35.8542,7.4597,40.0
tft,weather.csv,OT,96,96,24,433974621,17,2020-11-09T22:40:00,2020-11-10T14:30:00,1009.1932,27.8045,5.9242,47.37
tft,weather.csv,OT,96,96,24,433974621,18,2020-11-10T02:40:00,2020-11-10T18:30:00,1009.2385,29.0192,6.2706,48.42
tft,weather.csv,OT,96,96,24,433974621,19,2020-11-10T06:40:00,2020-11-10T22:30:00,843.5245,26.2889,5.7041,45.26
tft,weather.csv,OT,96,96,24,433974621,20,2020-11-10T10:40:00,2020-11-11T02:30:00,770.7785,25.2815,5.5041,51.58
tft,weather.csv,OT,96,96,24,433974621,21,2020-11-10T14:40:00,2020-11-11T06:30:00,859.5906,27.3848,5.9098,44.21
