window_index,timestamp,prediction,actual
0,2024-05-06T01:00:00+00:00,186.07943850994786,177.809998
0,2024-05-06T02:00:00+00:00,185.6877376173208,174.720001
0,2024-05-06T03:00:00+00:00,186.0700060292004,171.970001
0,2024-05-06T04:00:00+00:00,186.00581008928663,168.470001
0,2024-05-06T05:00:00+00:00,185.09741672785526,171.889999
0,2024-05-06T06:00:00+00:00,185.5929069266292,177.550003
0,2024-05-06T07:00:00+00:00,186.036342382704,173.990005
0,2024-05-06T08:00:00+00:00,185.19169030664938,174.839996
0,2024-05-06T09:00:00+00:00,184.6153804612269,177.460007
0,2024-05-06T10:00:00+00:00,186.0283699193431,174.949997
0,2024-05-06T11:00:00+00:00,186.85843462870213,186.600006
0,2024-05-06T12:00:00+00:00,185.73931849472783,180.110001
0,2024-05-06T13:00:00+00:00,185.39713652512853,173.740005
0,2024-05-06T14:00:00+00:00,184.65043368567456,179.240005
0,2024-05-06T15:00:00+00:00,185.04374828172882,176.75
0,2024-05-06T16:00:00+00:00,185.54138368148745,176.190002
0,2024-05-06T17:00:00+00:00,185.18235387967735,178.789993
0,2024-05-06T18:00:00+00:00,186.66651278180376,178.080002
0,2024-05-06T19:00:00+00:00,185.13506340423965,176.289993
0,2024-05-06T20:00:00+00:00,185.69884143376075,174.770004
0,2024-05-06T21:00:00+00:00,185.876067053018,175.0
0,2024-05-06T22:00:00+00:00,185.21720218940413,177.940002
0,2024-05-06T23:00:00+00:00,186.14828985617757,177.479996
0,2024-05-07T00:00:00+00:00,186.46621504568776,173.789993
0,2024-05-07T01:00:00+00:00,185.72110029532087,170.660004
0,2024-05-07T02:00:00+00:00,185.18672752825205,177.289993
0,2024-05-07T03:00:00+00:00,184.78826444983457,182.470001
0,2024-05-07T04:00:00+00:00,185.93011971424613,178.009995
0,2024-05-07T05:00:00+00:00,186.13217203266007,187.440002
0,2024-05-07T06:00:00+00:00,185.5194193848386,184.860001
0,2024-05-07T07:00:00+00:00,185.91111387388065,181.570007
0,2024-05-07T08:00:00+00:00,184.93580945248328,183.009995
0,2024-05-07T09:00:00+00:00,186.08418997003923,182.580002
0,2024-05-07T10:00:00+00:00,185.54812665652275,187.350006
0,2024-05-07T11:00:00+00:00,184.98826762103926,196.369995
0,2024-05-07T12:00:00+00:00,186.12177261057332,197.419998
0,2024-05-07T13:00:00+00:00,185.48225297733143,197.880005
0,2024-05-07T14:00:00+00:00,184.4912341582734,209.860001
0,2024-05-07T15:00:00+00:00,184.94985251445144,231.259995
0,2024-05-07T16:00:00+00:00,186.28793283490074,246.389999
0,2024-05-07T17:00:00+00:00,185.62622477953408,251.520004
0,2024-05-07T18:00:00+00:00,187.08580672231994,252.940002
0,2024-05-07T19:00:00+00:00,186.27034859041163,262.329987
0,2024-05-07T20:00:00+00:00,186.091253124326,263.26001
0,2024-05-07T21:00:00+00:00,185.9503614465222,241.029999
0,2024-05-07T22:00:00+00:00,186.51905102576043,248.229996
0,2024-05-07T23:00:00+00:00,185.0398741127864,252.639999
0,2024-05-08T00:00:00+00:00,185.46788973611183,256.559998
1,2024-07-16T01:00:00+00:00,258.83649133836684,248.5
1,2024-07-16T02:00:00+00:00,257.35694301746116,249.229996
1,2024-07-16T03:00:00+00:00,261.94303692905146,239.199997
1,2024-07-16T04:00:00+00:00,260.8680543030957,251.509995
1,2024-07-16T05:00:00+00:00,256.4189843039518,246.380005
1,2024-07-16T06:00:00+00:00,259.2832182371464,215.990005
1,2024-07-16T07:00:00+00:00,261.6448732029402,220.25
1,2024-07-16T08:00:00+00:00,256.0365878203716,219.800003
1,2024-07-16T09:00:00+00:00,255.09135463426952,232.100006
1,2024-07-16T10:00:00+00:00,261.168664198688,222.619995
1,2024-07-16T11:00:00+00:00,263.7809682896793,232.070007
1,2024-07-16T12:00:00+00:00,261.2590059762744,216.860001
1,2024-07-16T13:00:00+00:00,256.0024951336782,207.669998
1,2024-07-16T14:00:00+00:00,256.54997603930104,198.880005
1,2024-07-16T15:00:00+00:00,260.88771330913414,200.639999
1,2024-07-16T16:00:00+00:00,261.05754919126815,191.759995
1,2024-07-16T17:00:00+00:00,259.16165257895955,198.839996
1,2024-07-16T18:00:00+00:00,263.6969404469313,200.0
1,2024-07-16T19:00:00+00:00,259.38650806366104,197.490005
1,2024-07-16T20:00:00+00:00,259.03100663720187,207.830002
1,2024-07-16T21:00:00+00:00,254.43288679292743,201.380005
1,2024-07-16T22:00:00+00:00,258.2499741784084,214.139999
1,2024-07-16T23:00:00+00:00,258.9915221319142,216.119995
1,2024-07-17T00:00:00+00:00,261.2095446855119,222.720001
1,2024-07-17T01:00:00+00:00,260.9278894016049,221.100006
1,2024-07-17T02:00:00+00:00,257.99171759419664,223.270004
1,2024-07-17T03:00:00+00:00,258.73396994205564,210.660004
1,2024-07-17T04:00:00+00:00,260.46259210624174,220.320007
1,2024-07-17T05:00:00+00:00,259.1190431241779,213.210007
1,2024-07-17T06:00:00+00:00,259.13576928827314,209.210007
1,2024-07-17T07:00:00+00:00,259.5592639805682,205.75
1,2024-07-17T08:00:00+00:00,259.5137216838433,206.279999
1,2024-07-17T09:00:00+00:00,256.00903959757767,214.110001
1,2024-07-17T10:00:00+00:00,255.5665390649171,210.600006
1,2024-07-17T11:00:00+00:00,261.32237585371945,219.410004
1,2024-07-17T12:00:00+00:00,262.2882541979544,230.169998
1,2024-07-17T13:00:00+00:00,264.14941776506674,210.729996
1,2024-07-17T14:00:00+00:00,260.2628514820232,216.270004
1,2024-07-17T15:00:00+00:00,257.5425957546163,226.169998
1,2024-07-17T16:00:00+00:00,264.3848135507257,228.130005
1,2024-07-17T17:00:00+00:00,262.8210837010313,229.809998
1,2024-07-17T18:00:00+00:00,264.3912939787748,230.289993
1,2024-07-17T19:00:00+00:00,265.5553760868214,226.779999
1,2024-07-17T20:00:00+00:00,264.773024489512,227.869995
1,2024-07-17T21:00:00+00:00,259.8808648278849,227.199997
1,2024-07-17T22:00:00+00:00,261.159097242655,243.919998
1,2024-07-17T23:00:00+00:00,257.9840332921621,238.25
1,2024-07-18T00:00:00+00:00,265.41936394080955,250.0
2,2024-09-23T01:00:00+00:00,251.48876173291342,254.270004
2,2024-09-23T02:00:00+00:00,251.42997682234898,257.019989
2,2024-09-23T03:00:00+00:00,251.87067154403144,254.220001
2,2024-09-23T04:00:00+00:00,247.91320476754896,260.459991
2,2024-09-23T05:00:00+00:00,250.270249152122,261.630005
2,2024-09-23T06:00:00+00:00,251.25454420689982,258.019989
2,2024-09-23T07:00:00+00:00,248.83254185579455,249.020004
2,2024-09-23T08:00:00+00:00,252.51882961347712,240.660004
2,2024-09-23T09:00:00+00:00,250.86742187756835,250.080002
2,2024-09-23T10:00:00+00:00,245.77949181444058,240.830002
2,2024-09-23T11:00:00+00:00,251.345283006758,244.5
2,2024-09-23T12:00:00+00:00,248.19689639149516,241.050003
2,2024-09-23T13:00:00+00:00,247.74845333192786,238.770004
2,2024-09-23T14:00:00+00:00,249.26092888705165,217.800003
2,2024-09-23T15:00:00+00:00,254.32175897833753,219.160004
2,2024-09-23T16:00:00+00:00,250.51090868467463,219.570007
2,2024-09-23T17:00:00+00:00,249.23834984624006,221.330002
2,2024-09-23T18:00:00+00:00,247.05103888644055,220.889999
2,2024-09-23T19:00:00+00:00,252.45011914611808,220.699997
2,2024-09-23T20:00:00+00:00,247.8363361328632,218.850006
2,2024-09-23T21:00:00+00:00,249.61855630374043,217.970001
2,2024-09-23T22:00:00+00:00,252.72927703186383,213.649994
2,2024-09-23T23:00:00+00:00,244.44821210129186,260.480011
2,2024-09-24T00:00:00+00:00,246.8642719254904,269.190002
2,2024-09-24T01:00:00+00:00,249.2159885273195,262.51001
2,2024-09-24T02:00:00+00:00,252.1625853711546,259.519989
2,2024-09-24T03:00:00+00:00,251.18375897799137,257.549988
2,2024-09-24T04:00:00+00:00,251.92757380059743,249.850006
2,2024-09-24T05:00:00+00:00,248.9296714335115,248.979996
2,2024-09-24T06:00:00+00:00,251.51020093558986,242.839996
2,2024-09-24T07:00:00+00:00,249.67980019095592,251.440002
2,2024-09-24T08:00:00+00:00,252.2362394061559,288.529999
2,2024-09-24T09:00:00+00:00,245.35307708737236,296.910004
2,2024-09-24T10:00:00+00:00,245.19077182123226,321.220001
2,2024-09-24T11:00:00+00:00,250.27488534768287,350.0
2,2024-09-24T12:00:00+00:00,249.28667129886742,328.48999
2,2024-09-24T13:00:00+00:00,252.50116852596773,330.23999
2,2024-09-24T14:00:00+00:00,252.10321133076752,311.179993
2,2024-09-24T15:00:00+00:00,251.72651403786296,320.720001
2,2024-09-24T16:00:00+00:00,253.1619288507501,338.73999
2,2024-09-24T17:00:00+00:00,250.26457557578652,346.0
2,2024-09-24T18:00:00+00:00,245.96286487532547,342.029999
2,2024-09-24T19:00:00+00:00,250.30097355309022,339.640015
2,2024-09-24T20:00:00+00:00,251.38056676026673,352.559998
2,2024-09-24T21:00:00+00:00,248.2698204178032,338.589996
2,2024-09-24T22:00:00+00:00,247.93764084801887,338.230011
2,2024-09-24T23:00:00+00:00,249.58492467516913,332.890015
2,2024-09-25T00:00:00+00:00,254.2749103502668,345.160004
3,2024-11-29T01:00:00+00:00,344.1672971465132,357.089996
3,2024-11-29T02:00:00+00:00,343.5177943242115,351.420013
3,2024-11-29T03:00:00+00:00,342.9354010730115,357.929993
3,2024-11-29T04:00:00+00:00,341.1633754095002,369.48999
3,2024-11-29T05:00:00+00:00,347.9276359614689,389.220001
3,2024-11-29T06:00:00+00:00,345.3330569938373,389.790009
3,2024-11-29T07:00:00+00:00,342.86006929873275,400.98999
3,2024-11-29T08:00:00+00:00,344.77722581333694,424.769989
3,2024-11-29T09:00:00+00:00,342.74188473344105,418.100006
3,2024-11-29T10:00:00+00:00,345.6971904529154,436.230011
3,2024-11-29T11:00:00+00:00,345.25864733580255,463.019989
3,2024-11-29T12:00:00+00:00,340.9898382552196,479.859985
3,2024-11-29T13:00:00+00:00,343.72063428358393,440.130005
3,2024-11-29T14:00:00+00:00,340.7273681120588,436.170013
3,2024-11-29T15:00:00+00:00,345.3390763637644,421.059998
3,2024-11-29T16:00:00+00:00,345.50285445446116,430.600006
3,2024-11-29T17:00:00+00:00,344.44388079107733,462.279999
3,2024-11-29T18:00:00+00:00,345.28331394533353,454.130005
3,2024-11-29T19:00:00+00:00,346.3848842563289,431.660004
3,2024-11-29T20:00:00+00:00,344.39021874853603,417.410004
3,2024-11-29T21:00:00+00:00,347.2935017432363,403.839996
3,2024-11-29T22:00:00+00:00,348.8798490552524,379.279999
3,2024-11-29T23:00:00+00:00,347.1514446129572,410.440002
3,2024-11-30T00:00:00+00:00,347.2028269792284,411.049988
3,2024-11-30T01:00:00+00:00,349.46782623259736,394.359985
3,2024-11-30T02:00:00+00:00,341.6284549829724,394.940002
3,2024-11-30T03:00:00+00:00,345.1349300730461,394.73999
3,2024-11-30T04:00:00+00:00,345.4651245314714,403.309998
3,2024-11-30T05:00:00+00:00,347.02847016606404,396.359985
3,2024-11-30T06:00:00+00:00,346.74868472898544,428.220001
3,2024-11-30T07:00:00+00:00,348.4072388657864,413.820007
3,2024-11-30T08:00:00+00:00,346.90733995165914,426.5
3,2024-11-30T09:00:00+00:00,345.5702201689642,424.070007
3,2024-11-30T10:00:00+00:00,342.4159422554748,415.109985
3,2024-11-30T11:00:00+00:00,343.32125549250736,412.380005
3,2024-11-30T12:00:00+00:00,349.6716395368942,406.579987
3,2024-11-30T13:00:00+00:00,348.7370234947699,397.149994
3,2024-11-30T14:00:00+00:00,341.37013436291033,398.089996
3,2024-11-30T15:00:00+00:00,346.6044247654565,389.100006
3,2024-11-30T16:00:00+00:00,352.64600232541426,400.279999
3,2024-11-30T17:00:00+00:00,347.50474320616655,404.600006
3,2024-11-30T18:00:00+00:00,347.9957957205155,383.679993
3,2024-11-30T19:00:00+00:00,348.79583401967443,392.209991
3,2024-11-30T20:00:00+00:00,349.5092958492439,378.170013
3,2024-11-30T21:00:00+00:00,349.106305436211,374.320007
3,2024-11-30T22:00:00+00:00,349.2861693325002,361.619995
3,2024-11-30T23:00:00+00:00,350.1825175504924,350.730011
3,2024-12-01T00:00:00+00:00,352.5118344118907,328.5
4,2025-02-11T01:00:00+00:00,321.749754749369,336.51001
4,2025-02-11T02:00:00+00:00,333.05443884450256,355.940002
4,2025-02-11T03:00:00+00:00,323.1355417782829,355.839996
4,2025-02-11T04:00:00+00:00,333.36993067170187,354.109985
4,2025-02-11T05:00:00+00:00,332.1683363625565,360.559998
4,2025-02-11T06:00:00+00:00,318.6354352064594,354.399994
