Date,Open,High,Low,Close,Volume
01/02/1990,0.24778,0.2636,0.24603,0.26184,232697000
01/03/1990,0.26711,0.26711,0.2636,0.2636,264194000
01/04/1990,0.26887,0.27239,0.26184,0.26448,281364700
01/05/1990,0.26536,0.26887,0.26008,0.26536,156629900
01/08/1990,0.2636,0.26711,0.26008,0.26711,129017000
01/09/1990,0.26711,0.26711,0.26008,0.26448,109413300
01/10/1990,0.26448,0.26448,0.2513,0.25306,253680700
01/11/1990,0.25481,0.25481,0.24251,0.24251,268077600
01/12/1990,0.24075,0.24427,0.23724,0.24251,218343000
01/15/1990,0.24251,0.2513,0.24075,0.24075,205439800
01/16/1990,0.23548,0.24603,0.23021,0.24515,272132100
01/17/1990,0.24427,0.24427,0.23197,0.23372,250607900
01/18/1990,0.23197,0.23548,0.22669,0.22757,347132300
01/19/1990,0.23724,0.24251,0.23548,0.24075,336775500
01/22/1990,0.239,0.24251,0.23372,0.23372,184954200
01/23/1990,0.23724,0.24075,0.23197,0.23724,178936600
01/24/1990,0.22845,0.24075,0.22669,0.239,215668400
01/25/1990,0.24075,0.24427,0.239,0.23988,141678200
01/26/1990,0.239,0.239,0.22669,0.23021,230221800
01/29/1990,0.23197,0.23548,0.22582,0.23372,152333600
01/30/1990,0.23372,0.24251,0.23197,0.239,147909300
01/31/1990,0.24251,0.24427,0.23197,0.239,182834500
02/01/1990,0.24251,0.24339,0.23548,0.23636,148706000
02/02/1990,0.23372,0.24427,0.23372,0.24075,150484200
02/05/1990,0.24075,0.24778,0.239,0.24603,129244600
02/06/1990,0.24427,0.24603,0.239,0.24427,93892600
02/07/1990,0.23197,0.239,0.22845,0.23372,396866900
02/08/1990,0.23372,0.23548,0.22669,0.23197,237064700
02/09/1990,0.23548,0.24251,0.23372,0.24075,213491800
02/12/1990,0.24075,0.24251,0.23724,0.239,95158700
02/13/1990,0.239,0.24603,0.23724,0.24251,129771000
02/14/1990,0.24251,0.24427,0.23724,0.24075,122017600
02/15/1990,0.23724,0.24075,0.23548,0.24075,124436100
02/16/1990,0.24153,0.24329,0.238,0.238,161061800
02/20/1990,0.23624,0.238,0.23271,0.23624,156041900
02/21/1990,0.23095,0.24153,0.22919,0.23977,222718400
02/22/1990,0.23977,0.24329,0.23271,0.23271,247123000
02/23/1990,0.23095,0.23624,0.23095,0.23448,189862300
02/26/1990,0.23271,0.24153,0.23271,0.23977,100794800
02/27/1990,0.23977,0.24153,0.23624,0.23624,93633600
02/28/1990,0.23624,0.23977,0.23448,0.23977,138429700
03/01/1990,0.23624,0.24506,0.23448,0.24153,258155400
03/02/1990,0.23624,0.24506,0.23448,0.238,132814300
03/05/1990,0.23624,0.24506,0.23624,0.24329,231028300
03/06/1990,0.24682,0.24858,0.24329,0.24858,197533900
03/07/1990,0.24682,0.25387,0.24682,0.24946,258566500
03/08/1990,0.25211,0.26092,0.24682,0.25916,283410800
03/09/1990,0.25916,0.26445,0.25563,0.26004,291805600
03/12/1990,0.26269,0.26445,0.25563,0.25828,207587800
03/13/1990,0.2574,0.26269,0.25563,0.26004,188118000
03/14/1990,0.25916,0.26269,0.2574,0.26092,128872100
03/15/1990,0.2574,0.26797,0.2574,0.25916,152227300
03/16/1990,0.28208,0.28737,0.27591,0.28384,816341200
03/19/1990,0.2856,0.29971,0.28208,0.29883,546699400
03/20/1990,0.29794,0.30323,0.28737,0.29177,495451300
03/21/1990,0.29089,0.29794,0.29089,0.29354,193379100
03/22/1990,0.29442,0.29794,0.28737,0.28737,293308900
03/23/1990,0.29089,0.30323,0.28913,0.29794,288657500
03/26/1990,0.29971,0.30588,0.29618,0.29794,162139400
03/27/1990,0.29618,0.29794,0.29089,0.29618,107119300
03/28/1990,0.29618,0.29706,0.28913,0.29089,130332700
03/29/1990,0.28913,0.29266,0.28737,0.29001,122675200
03/30/1990,0.28208,0.28913,0.28208,0.28384,282786900
04/02/1990,0.28208,0.28649,0.27855,0.28384,188359200
04/03/1990,0.2856,0.29442,0.2856,0.29442,176887200
04/04/1990,0.29266,0.29618,0.28737,0.29089,189578700
04/05/1990,0.28913,0.29089,0.28208,0.28384,136983300
04/06/1990,0.28384,0.29089,0.28032,0.2812,149703200
04/09/1990,0.28032,0.29266,0.27855,0.29001,133551700
04/10/1990,0.29089,0.29618,0.28913,0.29089,166266000
04/11/1990,0.29266,0.30323,0.29266,0.29971,269882600
04/12/1990,0.30323,0.31029,0.29971,0.305,268166800
04/16/1990,0.30676,0.31205,0.305,0.30852,287267900
04/17/1990,0.305,0.30676,0.30147,0.305,165996600
04/18/1990,0.305,0.30852,0.29971,0.305,244925000
04/19/1990,0.29442,0.30412,0.28208,0.28384,609604200
04/20/1990,0.28825,0.29266,0.28032,0.28384,409617000
04/23/1990,0.28384,0.2856,0.27855,0.28032,162508100
04/24/1990,0.28208,0.2856,0.2715,0.27326,384560100
04/25/1990,0.27326,0.27503,0.26974,0.27326,167854200
04/26/1990,0.27503,0.27855,0.26886,0.27414,179992700
04/27/1990,0.27503,0.27855,0.27326,0.27591,147391800
04/30/1990,0.27679,0.28032,0.27503,0.27767,172689700
05/01/1990,0.28032,0.28208,0.27767,0.27943,207148400
05/02/1990,0.28032,0.28208,0.27679,0.28032,171470100
05/03/1990,0.28032,0.28384,0.28032,0.28208,210565800
05/04/1990,0.28208,0.28737,0.27679,0.28208,214649800
05/07/1990,0.28032,0.29442,0.28032,0.29266,172179200
05/08/1990,0.28913,0.29618,0.28913,0.29442,142386100
